Wahljahr;Kanton;Wahldatum
1935;Zürich;07.04.1935
1939;Zürich;19.03.1939
1943;Zürich;11.04.1943
1947;Zürich;20.04.1947
1951;Zürich;15.04.1951
1955;Zürich;24.04.1955
1959;Zürich;12.04.1959
1963;Zürich;28.04.1963
1967;Zürich;09.04.1967
1971;Zürich;25.04.1971
1975;Zürich;27.04.1975
1979;Zürich;01.04.1979
1983;Zürich;24.04.1983
1987;Zürich;05.04.1987
1991;Zürich;07.04.1991
1995;Zürich;02.04.1995
1999;Zürich;18.04.1999
2003;Zürich;06.04.2003
2007;Zürich;15.04.2007
2011;Zürich;03.04.2011
2015;Zürich;12.04.2015
1922;Bern;14.05.1922
1926;Bern;09.05.1926
1930;Bern;11.05.1930
1934;Bern;06.05.1934
1938;Bern;08.05.1938
1942;Bern;03.05.1942
1946;Bern;05.05.1946
1950;Bern;07.05.1950
1954;Bern;02.05.1954
1958;Bern;04.05.1958
1962;Bern;06.05.1962
1966;Bern;08.05.1966
1970;Bern;03.05.1970
1974;Bern;05.05.1974
1978;Bern;23.04.1978
1982;Bern;25.04.1982
1986;Bern;27.04.1986
1990;Bern;29.04.1990
1994;Bern;17.04.1994
1998;Bern;19.04.1998
2002;Bern;14.04.2002
2006;Bern;09.04.2006
2010;Bern;28.03.2010
2014;Bern;30.03.2014
2018;Bern;25.03.2018
1911;Luzern;14.05.1911
1915;Luzern;09.05.1915
1919;Luzern;11.05.1919
1923;Luzern;13.05.1923
1927;Luzern;08.05.1927
1931;Luzern;10.05.1931
1935;Luzern;12.05.1935
1939;Luzern;14.05.1939
1943;Luzern;09.05.1943
1947;Luzern;11.05.1947
1951;Luzern;06.05.1951
1955;Luzern;08.05.1955
1959;Luzern;10.05.1959
1963;Luzern;12.05.1963
1967;Luzern;07.05.1967
1971;Luzern;02.05.1971
1975;Luzern;27.04.1975
1979;Luzern;29.04.1979
1983;Luzern;24.04.1983
1987;Luzern;03.05.1987
1991;Luzern;21.04.1991
1995;Luzern;02.04.1995
1999;Luzern;18.04.1999
2003;Luzern;06.04.2003
2007;Luzern;01.04.2007
2011;Luzern;10.04.2011
2015;Luzern;29.03.2015
1932;Uri;22.05.1932
1936;Uri;17.05.1936
1940;Uri;06.10.1940
1944;Uri;21.05.1944
1948;Uri;23.05.1948
1952;Uri;04.05.1952
1956;Uri;29.04.1956
1960;Uri;01.05.1960
1964;Uri;03.05.1964
1968;Uri;05.05.1968
1972;Uri;07.05.1972
1976;Uri;02.05.1976
1980;Uri;04.05.1980
1984;Uri;08.04.1984
1988;Uri;24.04.1988
1992;Uri;05.04.1992
1996;Uri;10.03.1996
2000;Uri;12.03.2000
2004;Uri;21.03.2004
2008;Uri;06.04.2008
2012;Uri;11.03.2012
2016;Uri;28.02.2016
1900;Schwyz;29.04.1900
1904;Schwyz;24.04.1904
1908;Schwyz;26.04.1908
1912;Schwyz;28.04.1912
1916;Schwyz;30.04.1916
1920;Schwyz;25.04.1920
1924;Schwyz;27.04.1924
1928;Schwyz;29.04.1928
1932;Schwyz;24.04.1932
1936;Schwyz;26.04.1936
1940;Schwyz;28.04.1940
1944;Schwyz;30.04.1944
1948;Schwyz;25.04.1948
1952;Schwyz;27.04.1952
1956;Schwyz;29.04.1956
1960;Schwyz;24.04.1960
1964;Schwyz;26.04.1964
1968;Schwyz;28.04.1968
1972;Schwyz;30.04.1972
1976;Schwyz;11.04.1976
1980;Schwyz;27.04.1980
1984;Schwyz;08.04.1984
1988;Schwyz;24.04.1988
1992;Schwyz;05.04.1992
1996;Schwyz;21.04.1996
2000;Schwyz;12.03.2000
2004;Schwyz;28.03.2004
2008;Schwyz;16.03.2008
2012;Schwyz;11.03.2012
2016;Schwyz;20.03.2016
1966;Obwalden;
1970;Obwalden;10.05.1970
1974;Obwalden;09.06.1974
1978;Obwalden;07.05.1978
1982;Obwalden;16.05.1982
1986;Obwalden;16.03.1986
1990;Obwalden;01.04.1990
1994;Obwalden;27.03.1994
1998;Obwalden;05.04.1998
2002;Obwalden;03.03.2002
2006;Obwalden;12.03.2006
2010;Obwalden;07.03.2010
2014;Obwalden;09.03.2014
2018;Obwalden;04.03.2018
1943;Nidwalden;
1949;Nidwalden;
1955;Nidwalden;
1958;Nidwalden;
1962;Nidwalden;
1966;Nidwalden;
1970;Nidwalden;
1974;Nidwalden;
1978;Nidwalden;
1982;Nidwalden;14.03.1982
1986;Nidwalden;09.03.1986
1990;Nidwalden;01.04.1990
1994;Nidwalden;13.03.1994
1998;Nidwalden;15.03.1998
2002;Nidwalden;03.03.2002
2006;Nidwalden;26.03.2006
2010;Nidwalden;07.03.2010
2014;Nidwalden;23.03.2014
2018;Nidwalden;04.03.2018
1935;Glarus;02.06.1935
1938;Glarus;29.05.1938
1941;Glarus;24.08.1941
1944;Glarus;09.07.1944
1947;Glarus;01.06.1947
1950;Glarus;04.06.1950
1953;Glarus;31.05.1953
1956;Glarus;03.06.1956
1959;Glarus;07.06.1959
1962;Glarus;27.05.1962
1965;Glarus;30.05.1965
1968;Glarus;09.06.1968
1971;Glarus;06.06.1971
1974;Glarus;09.06.1974
1978;Glarus;28.05.1978
1982;Glarus;06.06.1982
1986;Glarus;08.06.1986
1990;Glarus;10.06.1990
1994;Glarus;29.05.1994
1998;Glarus;07.06.1998
2002;Glarus;02.06.2002
2006;Glarus;21.05.2006
2010;Glarus;30.05.2010
2014;Glarus;01.06.2014
1934;Zug;25.11.1934
1938;Zug;27.11.1938
1942;Zug;22.11.1942
1946;Zug;24.11.1946
1950;Zug;26.11.1950
1954;Zug;28.11.1954
1958;Zug;23.11.1958
1962;Zug;25.11.1962
1966;Zug;27.11.1966
1970;Zug;22.11.1970
1974;Zug;10.11.1974
1978;Zug;12.11.1978
1982;Zug;14.11.1982
1986;Zug;09.11.1986
1990;Zug;11.11.1990
1994;Zug;13.11.1994
1998;Zug;25.10.1998
2002;Zug;27.10.2002
2006;Zug;29.10.2006
2010;Zug;03.10.2010
2014;Zug;05.10.2014
1916;Freiburg;03.12.1916
1921;Freiburg;04.12.1921
1926;Freiburg;05.12.1926
1931;Freiburg;06.12.1931
1936;Freiburg;06.12.1936
1941;Freiburg;07.12.1941
1946;Freiburg;01.12.1946
1951;Freiburg;02.12.1951
1956;Freiburg;02.12.1956
1961;Freiburg;03.12.1961
1966;Freiburg;04.12.1966
1971;Freiburg;21.11.1971
1976;Freiburg;14.11.1976
1981;Freiburg;15.11.1981
1986;Freiburg;16.11.1986
1991;Freiburg;17.11.1991
1996;Freiburg;17.11.1996
2001;Freiburg;11.11.2001
2006;Freiburg;05.11.2006
2011;Freiburg;13.11.2011
2016;Freiburg;06.11.2016
1896;Solothurn;-1336
1900;Solothurn;06.05.1900
1904;Solothurn;08.05.1904
1908;Solothurn;10.05.1908
1912;Solothurn;12.05.1912
1917;Solothurn;22.07.1917
1921;Solothurn;08.05.1921
1925;Solothurn;10.05.1925
1929;Solothurn;12.05.1929
1933;Solothurn;07.05.1933
1937;Solothurn;09.05.1937
1941;Solothurn;22.06.1941
1945;Solothurn;18.03.1945
1949;Solothurn;15.05.1949
1953;Solothurn;03.05.1953
1957;Solothurn;12.05.1957
1961;Solothurn;07.05.1961
1965;Solothurn;09.05.1965
1969;Solothurn;04.05.1969
1973;Solothurn;06.05.1973
1977;Solothurn;08.05.1977
1981;Solothurn;10.05.1981
1985;Solothurn;05.05.1985
1989;Solothurn;30.04.1989
1993;Solothurn;28.03.1993
1997;Solothurn;02.03.1997
2001;Solothurn;04.03.2001
2005;Solothurn;27.02.2005
2009;Solothurn;08.03.2009
2013;Solothurn;03.03.2013
2017;Solothurn;12.03.2017
1926;Basel-Stadt;18.04.1926
1929;Basel-Stadt;28.04.1929
1932;Basel-Stadt;10.04.1932
1935;Basel-Stadt;24.03.1935
1938;Basel-Stadt;20.02.1938
1941;Basel-Stadt;09.03.1941
1944;Basel-Stadt;12.03.1944
1947;Basel-Stadt;09.03.1947
