 Kanton;  Wahljahr;FDP;  CVP;  SP;  SVP;  Dem.;LPS;  LdU;  EVP;  CSP;  DSP;  GLP;  BDP;  PdA;  PSA;  POCH;  GPS;FGA;  Sol.;  SD;  Rep.;  EDU;  FPS;  Lega;  MCR;  LS;  JB;  Front;  Grüt;Übrige;  Total
Aargau;1969;40  ;47  ;57  ;30  ;;;12  ;4  ;;;;;;;;;;;;;;;;;;;;;10  ;200  
Aargau;1973;41  ;54  ;46  ;30  ;;;9  ;8  ;;;;;;;;;;;4  ;6  ;;;;;;;;;2  ;200  
Aargau;1977;46  ;45  ;51  ;29  ;;;11  ;8  ;;;;;;;;;;;6  ;4  ;;;;;;;;;0  ;200  
Aargau;1981;48  ;50  ;51  ;34  ;;;7  ;10  ;;;;;;;;;;;0  ;0  ;;;;;;;;;0  ;200  
Aargau;1985;52  ;48  ;44  ;32  ;;;6  ;9  ;;;;;;;0  ;;5  ;;3  ;;;;;;;;;;1  ;200  
Aargau;1989;45  ;42  ;37  ;34  ;;;6  ;9  ;;;;;;;;11  ;;;3  ;;0  ;12  ;;;;;;;1  ;200  
Aargau;1993;41  ;37  ;44  ;36  ;;;5  ;8  ;;;;;;;;7  ;;;3  ;;0  ;19  ;;;;;;;0  ;200  
Aargau;1997;40  ;37  ;48  ;47  ;;;2  ;8  ;;;;;;;;6  ;;;7  ;;1  ;4  ;;;;;;;0  ;200  
Aargau;2001;40  ;32  ;36  ;72  ;;;;8  ;;;;;;;;7  ;;;4  ;;0  ;1  ;;;;;;;0  ;200  
Aargau;2005;24  ;26  ;30  ;46  ;;;;7  ;;;;;;;;7  ;0  ;;0  ;;0  ;0  ;;;;;;;0  ;140  
Aargau;2005;24  ;26  ;30  ;46  ;;;;7  ;;;;;;;;7  ;0  ;;0  ;;0  ;0  ;;;;;;;0  ;140  
Aargau;2009;20  ;21  ;22  ;45  ;;;;6  ;;;5  ;4  ;;;;13  ;;;2  ;;2  ;;;;;;;;0  ;140  
Aargau;2009;20  ;21  ;22  ;45  ;;;;6  ;;;5  ;4  ;;;;13  ;;;2  ;;2  ;;;;;;;;0  ;140  
Aargau;2009;20  ;21  ;22  ;45  ;;;;6  ;;;5  ;4  ;;;;13  ;;;2  ;;2  ;;;;;;;;0  ;140  
Aargau;2012;22  ;19  ;22  ;45  ;;;;6  ;;;8  ;6  ;;;;10  ;;;0  ;;2  ;;;;;;;;0  ;140  
Aargau;2012;22  ;19  ;22  ;45  ;;;;6  ;;;8  ;6  ;;;;10  ;;;0  ;;2  ;;;;;;;;0  ;140  
Aargau;2012;22  ;19  ;22  ;45  ;;;;6  ;;;8  ;6  ;;;;10  ;;;0  ;;2  ;;;;;;;;0  ;140  
Aargau;2012;22  ;19  ;22  ;45  ;;;;6  ;;;8  ;6  ;;;;10  ;;;0  ;;2  ;;;;;;;;0  ;140  
Aargau;2016;22  ;17  ;27  ;45  ;;;;6  ;;;7  ;4  ;;;;10  ;;;;;2  ;;;;;;;;0  ;140  
Appenzell A. Rh.;2003;31  ;2  ;5  ;11  ;;;;;;;;;;;;;;;;;;;;;;;;;16  ;65  
Appenzell A. Rh.;2007;26  ;3  ;4  ;8  ;;;;2  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2007;26  ;3  ;4  ;8  ;;;;2  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2007;26  ;3  ;4  ;8  ;;;;2  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2007;26  ;3  ;4  ;8  ;;;;2  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2011;24  ;3  ;5  ;10  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2011;24  ;3  ;5  ;10  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2011;24  ;3  ;5  ;10  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2011;24  ;3  ;5  ;10  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;22  ;65  
Appenzell A. Rh.;2015;23  ;4  ;7  ;12  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;18  ;65  
Appenzell A. Rh.;2015;23  ;4  ;7  ;12  ;;;;1  ;;;;;;;;;;;;;;;;;;;;;18  ;65  
Basel-Landschaft;2015;17  ;8  ;21  ;28  ;;;;4  ;;;3  ;1  ;;;;8  ;;;;;;;;;;;;;;90  
Basel-Landschaft;2015;17  ;8  ;21  ;28  ;;;;4  ;;;3  ;1  ;;;;8  ;;;;;;;;;;;;;;90  
Basel-Landschaft ;1971;23  ;12  ;23  ;10  ;;;6  ;2  ;;;;;0  ;;;;;;3  ;;;;;;;;;;1  ;80  
Basel-Landschaft ;1975;24  ;12  ;24  ;8  ;;;5  ;2  ;;;;;0  ;;2  ;;;;3  ;;;;;;;;;;0  ;80  
Basel-Landschaft ;1979;25  ;12  ;27  ;8  ;;1  ;2  ;2  ;;;;;0  ;;3  ;;;;0  ;;;;;;;;;;;80  
Basel-Landschaft ;1983;24  ;13  ;23  ;9  ;;3  ;3  ;4  ;;;;;0  ;;4  ;;;;1  ;;;;;;;;;;;84  
Basel-Landschaft ;1987;23  ;12  ;21  ;9  ;;;1  ;4  ;;0  ;;;;;;10  ;;;4  ;;;;;;;;;;;84  
Basel-Landschaft ;1991;24  ;13  ;21  ;9  ;;;0  ;4  ;;;;;;;;8  ;;;5  ;;;0  ;;;;;;;;84  
Basel-Landschaft ;1995;25  ;13  ;24  ;11  ;;;0  ;4  ;;;;;;;;6  ;0  ;;7  ;;;0  ;;;;;;;;90  
Basel-Landschaft ;1999;22  ;12  ;25  ;14  ;;;;3  ;;;;;;;;5  ;;;9  ;;;;;;;;;;;90  
Basel-Landschaft ;2003;19  ;11  ;25  ;20  ;;;;3  ;;;;;;;;8  ;;;4  ;;;;;;;;;;;90  
Basel-Landschaft ;2007;20  ;11  ;22  ;21  ;;;;4  ;;;;;;;;11  ;;;1  ;;0  ;;;;;;;;;90  
Basel-Landschaft ;2007;20  ;11  ;22  ;21  ;;;;4  ;;;;;;;;11  ;;;1  ;;0  ;;;;;;;;;90  
Basel-Landschaft ;2007;20  ;11  ;22  ;21  ;;;;4  ;;;;;;;;11  ;;;1  ;;0  ;;;;;;;;;90  
Basel-Landschaft ;2007;20  ;11  ;22  ;21  ;;;;4  ;;;;;;;;11  ;;;1  ;;0  ;;;;;;;;;90  
Basel-Landschaft ;2011;14  ;8  ;21  ;24  ;;;;4  ;;;3  ;4  ;;;;12  ;;;0  ;;;;;;;;;;;90  
Basel-Landschaft ;2011;14  ;8  ;21  ;24  ;;;;4  ;;;3  ;4  ;;;;12  ;;;0  ;;;;;;;;;;;90  
Basel-Landschaft ;2011;14  ;8  ;21  ;24  ;;;;4  ;;;3  ;4  ;;;;12  ;;;0  ;;;;;;;;;;;90  
Basel-Landschaft ;2011;14  ;8  ;21  ;24  ;;;;4  ;;;3  ;4  ;;;;12  ;;;0  ;;;;;;;;;;;90  
Basel-Stadt;1968;20  ;20  ;36  ;;;19  ;19  ;5  ;;;;;8  ;;;;;;2  ;;;;;;;;;;1  ;130  
Basel-Stadt;1972;14  ;17  ;36  ;1  ;;19  ;12  ;6  ;;;;;9  ;;5  ;;;;10  ;;;;;;;;;;1  ;130  
Basel-Stadt;1976;18  ;16  ;39  ;;;19  ;8  ;6  ;;;;;8  ;;7  ;;;;9  ;;;;;;;;;;0  ;130  
Basel-Stadt;1980;22  ;18  ;37  ;;;18  ;5  ;7  ;;;;;6  ;;13  ;;;;4  ;;;;;;;;;;0  ;130  
Basel-Stadt;1984;21  ;15  ;28  ;;;15  ;5  ;10  ;;11  ;;;3  ;;15  ;0  ;0  ;;7  ;;;;;;;;;;0  ;130  
Basel-Stadt;1988;19  ;15  ;27  ;;;15  ;8  ;7  ;;9  ;;;2  ;;12  ;2  ;3  ;;10  ;;0  ;;;;;;;;1  ;130  
Basel-Stadt;1992;21  ;15  ;32  ;0  ;;17  ;3  ;6  ;;10  ;;;1  ;;6  ;3  ;5  ;;8  ;;0  ;3  ;;;;;;;0  ;130  
Basel-Stadt;1996;17  ;13  ;39  ;1  ;;14  ;;6  ;;10  ;;;;;;13  ;7  ;;8  ;;0  ;2  ;;;;;;;0  ;130  
Basel-Stadt;2000;18  ;14  ;39  ;14  ;;16  ;;6  ;;6  ;;;0  ;;;7  ;5  ;;5  ;;;;;;;;;;0  ;130  
Basel-Stadt;2004;17  ;11  ;46  ;15  ;;12  ;;6  ;;6  ;;;;;;16  ;;;0  ;;0  ;;;;;;;;1  ;130  
Basel-Stadt;2008;11  ;8  ;32  ;14  ;;9  ;;4  ;;3  ;5  ;;;;;13  ;;;;;;;;;;;;;1  ;100  
Basel-Stadt;2008;11  ;8  ;32  ;14  ;;9  ;;4  ;;3  ;5  ;;;;;13  ;;;;;;;;;;;;;1  ;100  
Basel-Stadt;2008;11  ;8  ;32  ;14  ;;9  ;;4  ;;3  ;5  ;;;;;13  ;;;;;;;;;;;;;1  ;100  
Basel-Stadt;2008;11  ;8  ;32  ;14  ;;9  ;;4  ;;3  ;5  ;;;;;13  ;;;;;;;;;;;;;1  ;100  
Basel-Stadt;2012;12  ;8  ;33  ;15  ;;10  ;;1  ;;;5  ;0  ;;;;13  ;;;;;0  ;;;;;;;;3  ;100  
Basel-Stadt;2012;12  ;8  ;33  ;15  ;;10  ;;1  ;;;5  ;0  ;;;;13  ;;;;;0  ;;;;;;;;3  ;100  
Basel-Stadt;2012;12  ;8  ;33  ;15  ;;10  ;;1  ;;;5  ;0  ;;;;13  ;;;;;0  ;;;;;;;;3  ;100  
Basel-Stadt;2012;12  ;8  ;33  ;15  ;;10  ;;1  ;;;5  ;0  ;;;;13  ;;;;;0  ;;;;;;;;3  ;100  
Basel-Stadt;2016;10  ;7  ;34  ;15  ;;14  ;;1  ;;;4  ;;;;;14  ;;;;;0  ;;;;;;;;1  ;100  
Bern;1970;37  ;10  ;63  ;79  ;;;5  ;2  ;;;;;0  ;;;;;;;;;;;;;;;;4  ;200  
Bern;1974;37  ;10  ;59  ;79  ;;;2  ;3  ;2  ;;;;0  ;;1  ;;;;5  ;0  ;;;;;;;;;2  ;200  
Bern;1978;40  ;10  ;57  ;75  ;;;3  ;4  ;2  ;;;;0  ;0  ;1  ;;1  ;;1  ;;1  ;;;;;;;;5  ;200  
Bern;1982;42  ;6  ;52  ;78  ;;;2  ;7  ;;;;;;1  ;1  ;;3  ;;4  ;;1  ;;;;;;;;3  ;200  
Bern;1986;40  ;6  ;49  ;69  ;;;4  ;6  ;;;;;0  ;1  ;2  ;14  ;;;5  ;;1  ;;;;;;;;3  ;200  
Bern;1990;35  ;3  ;57  ;71  ;;;3  ;4  ;;;;;;2  ;;14  ;3  ;;3  ;;2  ;1  ;;;;;;;2  ;200  
Bern;1994;35  ;2  ;54  ;71  ;;;2  ;7  ;;;;;;2  ;;10  ;5  ;;2  ;;3  ;6  ;;;;;;;1  ;200  
Bern;1998;38  ;2  ;58  ;66  ;;;0  ;8  ;;;;;;2  ;;9  ;5  ;;3  ;;4  ;4  ;;;;;;;1  ;200  
Bern;2002;36  ;2  ;58  ;67  ;;;;11  ;;;;;;2  ;;15  ;;;3  ;;4  ;0  ;;;;;;;2  ;200  
Bern;2006;26  ;1  ;42  ;47  ;;;;13  ;;;;;0  ;3  ;;19  ;;;1  ;;6  ;1  ;;;;;;;1  ;160  
Bern;2006;26  ;1  ;42  ;47  ;;;;13  ;;;;;0  ;3  ;;19  ;;;1  ;;6  ;1  ;;;;;;;1  ;160  
Bern;2006;26  ;1  ;42  ;47  ;;;;13  ;;;;;0  ;3  ;;19  ;;;1  ;;6  ;1  ;;;;;;;1  ;160  
Bern;2010;17  ;1  ;35  ;44  ;;;;10  ;;;4  ;25  ;;3  ;;16  ;;;0  ;;5  ;;;;;;;;0  ;160  
Bern;2010;17  ;1  ;35  ;44  ;;;;10  ;;;4  ;25  ;;3  ;;16  ;;;0  ;;5  ;;;;;;;;0  ;160  
