Kanton;Wahljahr;Total;FDP;CVP;SP;SVP;LPS;LdU;EVP;CSP;GLP;BDP;GPS;DSP;PdA;PSA;POCH;FGA;Sol.;SD;Rep.;EDU;FPS;Lega;MCR;LS;weitere;kleine Linksparteien;kleine Rechtsparteien
Aargau;1969;200;40;47;57;30;NA;12;4;NA;0;0;0;NA;NA;NA;NA;0;NA;0;0;0;0;NA;NA;NA;10;0;0
Aargau;1973;200;41;54;46;30;NA;9;8;NA;0;0;0;NA;NA;NA;NA;0;NA;4;6;0;0;NA;NA;NA;2;0;10
Aargau;1977;200;46;45;51;29;NA;11;8;NA;0;0;0;NA;NA;NA;NA;0;NA;6;4;0;0;NA;NA;NA;0;0;10
Aargau;1981;200;48;50;51;34;NA;7;10;NA;0;0;0;NA;NA;NA;NA;0;NA;0;0;0;0;NA;NA;NA;0;0;0
Aargau;1985;200;52;48;44;32;NA;6;9;NA;0;0;0;NA;NA;NA;NA;5;NA;3;0;0;0;NA;NA;NA;1;5;3
Aargau;1989;200;45;42;37;34;NA;6;9;NA;0;0;11;NA;NA;NA;NA;0;NA;3;0;0;12;NA;NA;NA;1;0;15
Aargau;1993;200;41;37;44;36;NA;5;8;NA;0;0;7;NA;NA;NA;NA;0;NA;3;0;0;19;NA;NA;NA;0;0;22
Aargau;1997;200;40;37;48;47;NA;2;8;NA;0;0;6;NA;NA;NA;NA;0;NA;7;0;1;4;NA;NA;NA;0;0;12
Aargau;2001;200;40;32;36;72;NA;0;8;NA;0;0;7;NA;NA;NA;NA;0;NA;4;0;0;1;NA;NA;NA;0;0;5
Aargau;2005;140;24;26;30;46;NA;0;7;NA;0;0;7;NA;NA;NA;NA;0;NA;0;0;0;0;NA;NA;NA;0;0;0
Aargau;2009;140;20;21;22;45;NA;0;6;NA;5;4;13;NA;NA;NA;NA;0;NA;2;0;2;0;NA;NA;NA;0;0;4
Aargau;2012;140;22;19;22;45;NA;0;6;NA;8;6;10;NA;NA;NA;NA;0;NA;0;0;2;0;NA;NA;NA;0;0;2
Aargau;2016;140;22;17;27;45;NA;0;6;NA;7;4;10;NA;NA;NA;NA;0;NA;0;0;2;0;NA;NA;NA;0;0;2
Appenzell A. Rh.;2003;65;31;2;5;11;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;0;0
Appenzell A. Rh.;2007;65;26;3;4;8;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;0;0
Appenzell A. Rh.;2011;65;24;3;5;10;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;0;0
Appenzell A. Rh.;2015;65;23;4;7;12;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;0
Basel-Landschaft;1971;80;23;12;23;10;0;6;2;NA;0;0;0;NA;NA;NA;0;NA;NA;3;NA;NA;NA;NA;NA;NA;1;0;3
Basel-Landschaft;1975;80;24;12;24;8;0;5;2;NA;0;0;0;NA;NA;NA;2;NA;NA;3;NA;NA;NA;NA;NA;NA;0;2;3
Basel-Landschaft;1979;80;25;12;27;8;1;2;2;NA;0;0;0;NA;NA;NA;3;NA;NA;0;NA;NA;NA;NA;NA;NA;0;3;0
Basel-Landschaft;1983;84;24;13;23;9;3;3;4;NA;0;0;0;NA;NA;NA;4;NA;NA;1;NA;NA;NA;NA;NA;NA;0;4;1
Basel-Landschaft;1987;84;23;12;21;9;0;1;4;NA;0;0;10;Na;NA;NA;0;NA;NA;4;NA;NA;NA;NA;NA;NA;0;0;4
Basel-Landschaft;1991;84;24;13;21;9;0;0;4;NA;0;0;8;NA;NA;NA;0;NA;NA;5;NA;NA;NA;NA;NA;NA;0;0;5
Basel-Landschaft;1995;90;25;13;24;11;0;0;4;NA;0;0;6;NA;NA;NA;0;NA;NA;7;NA;NA;NA;NA;NA;NA;0;0;7
Basel-Landschaft;1999;90;22;12;25;14;0;0;3;NA;0;0;5;NA;NA;NA;0;NA;NA;9;NA;NA;NA;NA;NA;NA;0;0;9
