"id","Wahl","Kanton","Datum","Total","FDP","LDP","FDP.LDP","CVP","SP","SVP","GLP","BDP","GPS","EVP","CSP","PdA","EDU","AL","Links","Mitte","Rechts","weitere"
1,"Jura 18.10.2015","Jura",2015-10-18,60,1,0,1,-2,-2,4,0,0,0,0,0,-1,0,0,-3,-2,5,0
2,"Sankt-Gallen 28.02.2016","Sankt-Gallen",2016-02-28,120,4,0,4,-3,0,5,-3,-2,0,-2,0,0,0,0,0,-10,9,1
3,"Uri 28.02.2016","Uri",2016-02-28,64,3,0,3,-1,-1,1,0,0,-1,0,0,0,0,0,-2,-1,4,-1
4,"Schwyz 20.03.2016","Schwyz",2016-03-20,100,-1,0,-1,-2,3,-2,3,0,0,0,0,0,0,0,3,1,-3,-1
5,"Thurgau 10.04.2016","Thurgau",2016-04-10,130,2,0,2,-1,-2,3,1,-2,0,0,0,0,-1,0,-2,-2,4,0
6,"Schaffhausen 25.09.2016","Schaffhausen",2016-09-25,60,-1,0,-1,-1,0,1,4,0,-2,0,0,0,0,-1,-3,3,0,0
7,"Aargau 23.10.2016","Aargau",2016-10-23,140,0,0,0,-2,5,0,-1,-2,0,0,0,0,0,0,5,-5,0,0
8,"Basel-Stadt 23.10.2016","Basel-Stadt",2016-10-23,100,-2,4,2,-1,1,0,-1,0,1,0,0,0,0,0,2,-2,2,-2
9,"Freiburg 06.11.2016","Freiburg",2016-11-06,110,4,0,4,-4,-1,0,-1,-2,3,0,0,0,0,0,2,-7,4,1
10,"Wallis 05.03.2017","Wallis",2017-03-05,130,-2,0,-2,-6,-1,2,0,0,6,0,1,0,0,0,6,-6,0,0
11,"Solothurn 19.03.2017","Solothurn",2017-03-19,100,0,0,0,-2,4,-1,-1,0,0,0,0,0,0,0,4,-3,-1,0
