"code","entity","nr","date","vote","key","turnout"
"overall","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0.4588
"overall","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","Stimmbeteiligung",0.3336
"overall","Kanton Neuenburg",3,2012-06-17,"Managed Care","Stimmbeteiligung",0.3198
"overall","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0.515
"overall","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0.2864
"overall","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0.3761
"overall","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0.3751
"overall","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0.4286
"overall","Kanton Neuenburg",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.5088
"overall","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0.5536
"overall","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0.4963
"overall","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0.4462
"overall","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0.3854
"overall","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0.4127
"overall","Kanton Neuenburg",15,2015-06-14,"Erbschaftssteuer","Stimmbeteiligung",0.3892
"overall","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0.3728
"m","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0.4763
"m","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","Stimmbeteiligung",0.3407
"m","Kanton Neuenburg",3,2012-06-17,"Managed Care","Stimmbeteiligung",0.3238
"m","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0.5183
"m","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0.2956
"m","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0.3832
"m","Kanton Neuenburg",7,2013-06-09,"Volkswahl des Bundesrates","Stimmbeteiligung",0.3872
"m","Kanton Neuenburg",8,2013-09-22,"Wehrpflicht","Stimmbeteiligung",0.4504
"m","Kanton Neuenburg",9,2013-11-24,"1 zu 12","Stimmbeteiligung",0.5075
"m","Kanton Neuenburg",10,2014-02-09,"Masseneinwanderungsinitiative","Stimmbeteiligung",0.5629
"m","Kanton Neuenburg",11,2014-05-18,"Mindestlohninitiative","Stimmbeteiligung",0.5016
"m","Kanton Neuenburg",12,2014-09-28,"Einheitskrankenkasse","Stimmbeteiligung",0.4463
"m","Kanton Neuenburg",13,2014-11-30,"Pauschalsteuer","Stimmbeteiligung",0.3952
"m","Kanton Neuenburg",14,2015-03-08,"Energie- statt Mehrwertsteuer","Stimmbeteiligung",0.4293
"m","Kanton Neuenburg",15,2014-06-14,"Erbschaftssteuer","Stimmbeteiligung",0.4023
"m","Kanton Neuenburg",16,2015-10-18,"National- und Ständeratswahlen","Stimmbeteiligung",0.3867
"f","Kanton Neuenburg",1,2012-03-11,"Ferieninitiative","Stimmbeteiligung",0.444
"f","Kanton Neuenburg",2,2012-05-13,"Lokale Wahlen","Stimmbeteiligung",0.3271
"f","Kanton Neuenburg",3,2012-06-17,"Managed Care","Stimmbeteiligung",0.3162
"f","Kanton Neuenburg",4,2012-09-23,"Schutz vor Passivrauchen","Stimmbeteiligung",0.5119
"f","Kanton Neuenburg",5,2012-11-25,"Tierseuchengesetz","Stimmbeteiligung",0.2781
"f","Kanton Neuenburg",6,2013-03-03,"Abzockerinitiative","Stimmbeteiligung",0.3695
