"vote";"staendeja";"canton";"suffrage";"Abgegebene.Stimmen";"Stimmbeteiligung";"valid";"Ja.Stimmen";"Nein.Stimmen";"Ja";"result";"resultnum";"halb";"ling";"nr";"datum"
"21.05.2017 Energiegesetz";19.5;"Aargau";420491;177153;0.421;176336;85056;91280;0.482;"Nein";0;1;"d";19;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Appenzell Ausserrhoden";38800;17403;0.449;17314;9323;7991;0.538;"Ja";0.5;0.5;"d";15;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Appenzell Innerrhoden";11765;4209;0.358;4112;2303;1809;0.56;"Ja";0.5;0.5;"d";16;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Basel-Landschaft";188903;80920;0.428;79142;42251;36891;0.534;"Ja";0.5;0.5;"d";13;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Basel-Stadt";113968;56077;0.492;55155;34995;20160;0.634;"Ja";0.5;0.5;"d";12;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Bern / Berne";733996;301445;0.411;299022;166089;132933;0.555;"Ja";1;1;"d";2;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Fribourg / Freiburg";200033;77622;0.388;76726;48468;28258;0.632;"Ja";1;1;"l";10;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Genève";257536;111312;0.432;109324;79311;30013;0.725;"Ja";1;1;"l";25;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Glarus";26380;9459;0.359;9419;4119;5300;0.437;"Nein";0;1;"d";8;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Graubünden / Grigioni / Grischun";138212;53581;0.388;52711;30963;21748;0.587;"Ja";1;1;"l";18;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Jura";52701;19890;0.377;19616;12304;7312;0.627;"Ja";1;1;"l";26;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Luzern";274607;125011;0.455;123528;72209;51319;0.585;"Ja";1;1;"d";3;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Neuchâtel";112089;43408;0.387;42979;29921;13058;0.696;"Ja";1;1;"l";24;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Nidwalden";31047;14016;0.451;13809;6983;6826;0.506;"Ja";0.5;0.5;"d";7;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Obwalden";26573;13099;0.493;12779;6364;6415;0.498;"Nein";0;0.5;"d";6;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Schaffhausen";51493;33535;0.651;31757;16251;15506;0.512;"Ja";1;1;"d";14;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Schweiz";5356575;2297296;0.429;2271316;1322263;949053;0.582;"Ja";1;1;"l";27;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Schwyz";103713;48754;0.47;48529;21452;27077;0.442;"Nein";0;1;"d";5;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Solothurn";178898;77836;0.435;77120;39152;37968;0.508;"Ja";1;1;"d";11;2017-05-21
"21.05.2017 Energiegesetz";19.5;"St. Gallen";320996;131327;0.409;130869;68346;62523;0.522;"Ja";1;1;"d";17;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Thurgau";170472;67373;0.395;66071;33955;32116;0.514;"Ja";1;1;"d";20;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Ticino";220335;93150;0.423;91390;51896;39494;0.568;"Ja";1;1;"l";21;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Uri";26568;10017;0.377;9915;5128;4787;0.517;"Ja";1;1;"d";4;2017-05-21
"21.05.2017 Energiegesetz";19.5;"Valais / Wallis";219864;93146;0.424;91245;57831;33414;0.634;"Ja";1;1;"l";23;2017-05-21
